Name,Album,Artist,Album_Artist,Genre,Year,Date_Added,Group,Play_Count,Location,All_Artists,Comments,Composer
I'll Never Forget You,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,15,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/06 I'll Never Forget You.m4a,Birdy,,
Young Blood,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,21,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/07 Young Blood.m4a,Birdy,,
Shelter,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,25,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/08 Shelter.m4a,Birdy,,
Fire And Rain,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,18,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/09 Fire And Rain.m4a,Birdy,,
Without a Word,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,12,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/10 Without a Word.m4a,Birdy,,
Terrible Love,Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,27,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/11 Terrible Love.m4a,Birdy,,
Comforting Sounds [Bonus Track],Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,20,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/12 Comforting Sounds [Bonus Track].m4a,Birdy,,
Farewell and Goodnight [Bonus Track],Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,18,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/13 Farewell and Goodnight [Bonus Tra.m4a,Birdy,,
People Help The People (RAK Studios Session) [Bonus Track],Birdy (Deluxe Version),Birdy,Birdy,Easy Listening,2011,2016-01-01 18:31:17,,20,iTunes Media/Music/Birdy/Birdy (Deluxe Version)/14 People Help The People (RAK Studi.m4a,Birdy,,
Wings,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,18,iTunes Media/Music/Birdy/Fire Within/01 Wings.m4a,Birdy,,
Heart Of Gold,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,18,iTunes Media/Music/Birdy/Fire Within/02 Heart Of Gold.m4a,Birdy,,
Light Me Up,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,14,iTunes Media/Music/Birdy/Fire Within/03 Light Me Up.m4a,Birdy,,
Words As Weapons,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,7,iTunes Media/Music/Birdy/Fire Within/04 Words As Weapons.m4a,Birdy,,
All You Never Say,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,12,iTunes Media/Music/Birdy/Fire Within/05 All You Never Say.m4a,Birdy,,
Strange Birds,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,10,iTunes Media/Music/Birdy/Fire Within/06 Strange Birds.m4a,Birdy,,
Maybe,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,17,iTunes Media/Music/Birdy/Fire Within/07 Maybe.m4a,Birdy,,
No Angel,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,10,iTunes Media/Music/Birdy/Fire Within/08 No Angel.m4a,Birdy,,
All About You,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,11,iTunes Media/Music/Birdy/Fire Within/09 All About You.m4a,Birdy,,
Standing In The Way Of The Light,Fire Within,Birdy,Birdy,Easy Listening,2013,2016-01-01 18:31:17,?,8,iTunes Media/Music/Birdy/Fire Within/10 Standing In The Way Of The Light.m4a,Birdy,,
