Track_ID;Name;Album;Artist;Album_Artist;Genre;Year;Date_Added;Group;Play_Count
T1747;Warrior;Warrior [Single];Steve James (feat. LIGHTS);Steve James;Electronic >> Future Bass;2017;10/02/2017 12:36;SEEKING BLUE / BASSCO;22
T1748;Runaway (U & I) [Gioni Remix];Runaway (U & I);Galantis;Galantis;Electronic > Trap;2015;16/02/2017 16:22;-;33
T1749;Katuma [Original Mix];Katuma [Single];Jaxx & Vega;Jaxx & Vega;House >> Big Room;2017;16/02/2017 16:22;PUREGOLD;11
T1750;Feels [Original Mix];Feels [Single];Sam Ourt & Metro × Marvin Vogel V.S Blaze U;Sam Ourt & Metro × Marvin Vogel V.S Blaze U;House > Future House / Future Bounce;2017;16/02/2017 16:22;EDM EMBASSY;21
T1751;Shape Of You [KIRO Remix];Shape Of You [Remixes];Ed Sheeran;Ed Sheeran;House;2017;16/02/2017 16:22;-;32
T1752;No Scrubs;No Scrubs [Single];Unlike Pluto (feat. Joanna Jones);Unlike Pluto;R&B;2017;16/02/2017 16:22;LAFORCE / LOWLY. (LOWLY PALACE);20
T1753;OMEN [Extended Mix];OMEN [Single];MOTi & Kenneth G & Olly James;MOTi & Kenneth G & Olly James;House >> Big Room;2017;16/02/2017 16:40;REVEALED;15
T1754;Hoga Doga [Original Mix];Hoga Doga [Single];R3SPAWN & GMAXX;R3SPAWN & GMAXX;House >> Big Room;2017;18/02/2017 12:35;QUARTZO;11
T1755;Sphinx [Original Mix];Sphinx [Single];Jakik & Bitas;Jakik & Bitas;House >> Big Room;2017;18/02/2017 13:07;CELL;10
T1756;Collide [Extended Mix];Collide [Single];Blasterjaxx (feat. David Spekter);Blasterjaxx;House > Progressive House;2017;18/02/2017 21:25;MAXXIMIZE;11
T1757;Focus [Danzig Guthrie's 2k17 Bootleg];Focus [Remix];Ariana Grande;Ariana Grande;House > Future House / Future Bounce;2017;18/02/2017 21:28;-;14
T1758;I Am The Light [Extended Mix];I Am The Light [Single];Bart Claessen;Bart Claessen;House > Electro House;2017;22/02/2017 17:14;MAINSTAGE MUSIC;23
T1759;BANG [Extended Mix];BANG [Single];Maddix & KEVU;Maddix & KEVU;House >> Big Room;2017;22/02/2017 17:14;REVEALED;20
T1760;Never Let Me Go;Throwback [EP];Virtual Riot;Virtual Riot;Electronic > Dubstep / Brostep;2017;22/02/2017 17:14;DISCIPLE;24
T1761;Throwback;Throwback [EP];Virtual Riot;Virtual Riot;Electronic > Dubstep / Brostep;2017;22/02/2017 17:14;DISCIPLE;29
T1762;Heading Up High [First State Remix];Heading Up High [Remix];Armin van Buuren (feat. Kensington);Armin van Buuren;Trance;2016;24/02/2017 09:53;ARMADA MUSIC;23
T1763;Constellations;Constellations [Single];Grant (feat. Jessi Mason);Grant;Electronic >> Future Bass;2017;24/02/2017 09:53;MONSTERCAT;29
T1764;Mandala (Official Sunburn 2016 Anthem) [Extended Mix];Mandala (Official Sunburn 2016 Anthem) [Single];KSHMR & Marnik (feat. Mitika);KSHMR & Marnik;House >> Melbourne Bounce;2016;24/02/2017 09:53;SPINNIN';17
T1765;Caribbean Rave [Extended Mix];Caribbean Rave [Single];W&W;W&W;House >> Big Room;2016;24/02/2017 18:57;MAINSTAGE MUSIC;15
T1766;Keep It Up [Original Mix];Keep It Up [Single];Mazers;Mazers;House > Future House / Future Bounce;2017;01/03/2017 20:31;FUTURE HOUSE CLOUD;8
T1767;Fade Away;Fade Away [Single];OK Midnight (feat. Moock);OK Midnight;House > Progressive House;2017;01/03/2017 20:31;SPARKS GLOBAL;17
T1768;Tidal Waves [Extended Mix];Tidal Waves [Single];Tom Ferro & Gil Sanders (feat. Rhea Raj);Tom Ferro & Gil Sanders;House > Future House / Future Bounce;2017;01/03/2017 20:31;ARMADA DEEP;13
T1769;Saving Light [Original Mix];Saving Light;Gareth Emery & Standerwick (feat. HALIENE);Gareth Emery & Standerwick;Trance;2017;02/03/2017 16:48;MONSTERCAT;0
T1770;Won't Let You Go [Extended Mix];Won't Let You Go [Single];CMC$;CMC$;Electronic > Trap;2017;03/03/2017 12:22;SPINNIN' PREMIUM;27
T1771;Everybody Is In The Place [Original Mix];Everybody Is In The Place [Single];Hardwell;Hardwell;House > Electro House;2014;03/03/2017 12:22;REVEALED;15
